y_true_MOR_MPa,y_true_WA_pct,y_true_Shrinkage_pct,y_pred_MOR_MPa,y_pred_WA_pct,y_pred_Shrinkage_pct
65.37597448831707,0.7128822243738234,11.223689567916225,62.82769681567958,0.8650904242851792,10.928699561382485
47.58502259182886,1.0800715556279965,10.732544980744407,53.1172289137603,0.9203547677863742,11.018029194813769
54.37325554838626,0.7388870835181864,11.669631621179686,49.66116255453102,0.7991830001213154,11.150223069650975
41.8547822,1.0455399570292891,10.18,42.811332364300924,1.0644061364648518,10.203962854259636
66.63983274442518,0.5868520589521617,11.75037777240066,63.96959914832987,0.7027877694234697,11.620714983913834
55.585408798791605,1.2147036429585083,10.804393657682317,55.783786028485906,1.069730858006342,10.815358749376747
58.51252879831587,1.0420009964284198,11.665725041050251,58.53717408405049,0.8862483440295079,11.617899772782783
50.79560727259256,0.8841622205634749,10.69077964787023,53.192906263470086,0.835287958241021,10.74640953376521
60.03791817851289,0.7309907267226601,10.969427302127556,59.26187969915844,0.8407420873921287,10.83518225773736
62.09088046254627,0.7456092856752536,11.089891645309535,62.18640392254162,0.866748273653966,11.415821782814183
55.68075651870602,0.8147086907734322,11.519196391469375,55.54854307937227,0.7750213505746043,11.314733682444155
51.33355878863236,0.969967433610314,10.18,57.13820683812894,0.9608130464507127,10.56373340205252
47.68246079001594,1.0030988610622007,10.728257938377364,53.01086973196828,0.944703067188589,10.814117046495493
57.67913628517825,0.7535817045165737,11.225282169754552,59.235285400272346,0.8085569612763374,11.189653004003754
46.58514472747463,0.905278399253426,10.18,51.64753974586475,0.985333781152324,10.73521714841985
59.207848795821846,0.8309147019329457,10.913678304965009,55.015363788129534,0.8100394412571602,10.838948340646608
41.93712384597452,1.102439451197087,10.18,44.95145884575217,1.0565106289391162,10.245661818528411
57.21053636354089,0.9666109227718002,11.117477656140393,55.17954825552833,0.9354141551911971,10.899313969780286
57.21874507605581,0.7147053469079949,11.597019521024787,59.24354646535799,0.7216245031502585,11.351034597768432
47.65562814028178,1.207875238100424,10.18,48.11419848523497,1.0585715219885503,10.323137468498008
41.8547822,0.9546152295302656,10.18,44.87629745243299,1.039517931031928,10.378668993860755
56.12166023108405,0.8640512322676459,11.167138641473,56.43331001468342,0.854588059782782,11.166384714391386
64.12387112212015,0.813589929381445,10.872653295527124,60.861841044774664,0.7910425082142154,11.007322973078798
51.2997951336689,0.982090642210426,10.556788074013191,53.21854704246107,1.0183514300842769,10.722427637516494
65.63408351689891,0.5489697290406667,11.964070006897602,61.199876366207256,0.6935816107963283,11.420868604748787
