model,mode,target,mae,rmse,skill
LinearRegression,leaky,MOR_MPa,3.7432349801692415,5.181906584840798,0.41521364587508824
LinearRegression,leaky,WA_pct,0.07298494376145688,0.16464029284206214,0.47101281256273886
LinearRegression,leaky,Shrinkage_pct,0.2700981728958592,0.35256429740721373,0.3879163873623249
LinearRegression,leakfree,MOR_MPa,3.6914706329871194,5.100967596201832,0.42330052367534876
LinearRegression,leakfree,WA_pct,0.0655518202179003,0.14890429548066353,0.524887309336088
LinearRegression,leakfree,Shrinkage_pct,0.288881657897712,0.38790919418913117,0.345350148447808
LinearRegression,no_synth,MOR_MPa,3.331794600623763,6.165512378081595,0.4794908608425793
LinearRegression,no_synth,WA_pct,0.11677793221798312,0.2533884934654513,0.1536058434102311
LinearRegression,no_synth,Shrinkage_pct,0.21997789214618269,0.38924624872107155,0.5014965799965967
RandomForest_wrapped,leaky,MOR_MPa,2.913966838662431,4.673619862248992,0.5447659437224928
RandomForest_wrapped,leaky,WA_pct,0.05478561663708606,0.145165404635929,0.6029196192629953
RandomForest_wrapped,leaky,Shrinkage_pct,0.1660935868906026,0.25032338311511565,0.6236066256577473
RandomForest_wrapped,leakfree,MOR_MPa,2.635481234965546,4.284831497839906,0.5882723176810983
RandomForest_wrapped,leakfree,WA_pct,0.059310485660137795,0.1387984242010181,0.5701238450297599
RandomForest_wrapped,leakfree,Shrinkage_pct,0.18735984614729592,0.2872029595749149,0.5754140419998598
RandomForest_wrapped,no_synth,MOR_MPa,2.352323859569442,4.54495701194626,0.6325085385111302
RandomForest_wrapped,no_synth,WA_pct,0.06736413888888862,0.15435506092029624,0.511751814436763
RandomForest_wrapped,no_synth,Shrinkage_pct,0.14879236111110541,0.2940709797553278,0.6628138393335605
