Material,CO2_kg_per_kg,Effective_Date
AG98,0.48,2026-04-19
AG22,0.129,2026-04-19
AG23,0.129,2026-04-19
SodaF,0.053,2026-04-19
PotashF,0.0286,2026-04-19
Crushing,0.587,2026-04-19
ETP,0.242,2026-04-19
NaSil,0.433,2026-04-19
