Material,Price_Tk_per_kg,Effective_Date
AG98,6.95,7/16/2026
AG22,8.37,7/16/2026
AG23,7.024,7/16/2026
SodaF,8.887,7/16/2026
PotashF,6.241,7/16/2026
Crushing,0,7/16/2026
ETP,0,7/16/2026
NaSil,23.369,7/16/2026
