iter	RMSE
0	0.5704511216
1	0.5559461808
2	0.5429916566
3	0.5307287656
4	0.5197647778
5	0.5081750318
6	0.495688899
7	0.4843175037
8	0.4739133321
9	0.4637916994
10	0.4533224495
11	0.4427101549
12	0.4325048642
13	0.4220225927
14	0.4121270309
15	0.4034793401
16	0.3956556738
17	0.3870869894
18	0.3787829823
19	0.3707200688
20	0.36394149
21	0.3565346161
22	0.3491824057
23	0.3427643596
24	0.3349995289
25	0.32925374
26	0.3238819982
27	0.3181271424
28	0.3126547416
29	0.3068071199
30	0.2997682123
31	0.2944119715
32	0.2884697809
33	0.282548006
34	0.2764598541
35	0.2710521606
36	0.2663822903
37	0.2615201749
38	0.2569945345
39	0.2523018386
40	0.2478242323
41	0.2428238496
42	0.2385191518
43	0.2345743618
44	0.2305474462
45	0.2267721343
46	0.2237397191
47	0.220662031
48	0.2171908046
49	0.2134785936
50	0.2097768029
51	0.2064897425
52	0.202806937
53	0.1997500988
54	0.1966868867
55	0.1935856134
56	0.1907857417
57	0.1877772887
58	0.1845724466
59	0.1815918532
60	0.1786471618
61	0.1756138393
62	0.1730607133
63	0.1704672198
64	0.1678458458
65	0.1651358349
66	0.1625059861
67	0.1597577133
68	0.1573372175
69	0.1547149173
70	0.1526542447
71	0.1501019711
72	0.1479827339
73	0.1460266136
74	0.1440904385
75	0.1418610293
76	0.1398754296
77	0.1383948161
78	0.1362829941
79	0.1341580615
80	0.1322977404
81	0.1303929109
82	0.128721199
83	0.1269814732
84	0.1252289766
85	0.1234824357
86	0.1220483153
87	0.1204173985
88	0.1188219472
89	0.1171641357
90	0.1157211425
91	0.1140980151
92	0.1125121967
93	0.1110811057
94	0.1095880982
95	0.1080223437
96	0.1066418771
97	0.1050523015
98	0.1032722535
99	0.1021180048
100	0.100941756
101	0.0996562958
102	0.0985100385
103	0.09692925577
104	0.09562106732
105	0.09459445842
106	0.09334620788
107	0.09211941462
108	0.09091910635
109	0.08991162213
110	0.08888495246
111	0.08772138785
112	0.08652503585
113	0.08548374492
114	0.08457657634
115	0.08358347545
116	0.08258243735
117	0.08152208003
118	0.0805506685
119	0.07940544454
120	0.078353182
121	0.07737241787
122	0.07621632603
123	0.07552497033
124	0.07456769525
125	0.07379042738
126	0.07301433374
127	0.07212288459
128	0.07140425118
129	0.07053275426
130	0.06972323527
131	0.06899996408
132	0.06823261016
133	0.06744213289
134	0.06663251625
135	0.0657302548
136	0.06496600253
137	0.06410202518
138	0.06336212823
139	0.0627257847
140	0.0620088786
141	0.06125192638
142	0.0605119578
143	0.05977254805
144	0.05897969908
145	0.05837288793
146	0.05760138923
147	0.05698105304
148	0.05632284112
149	0.05563588765
150	0.05494288354
151	0.05427813229
152	0.05372892253
153	0.05323463111
154	0.05261414047
155	0.05203874846
156	0.05138642078
157	0.05072819869
158	0.05021966058
159	0.04977325337
160	0.04929228739
161	0.04856767731
162	0.04805573289
163	0.04750615276
164	0.0470113683
165	0.04656486141
166	0.04609137014
167	0.04565387481
168	0.04522810817
169	0.04482373259
170	0.04439573682
171	0.04387827247
172	0.04347220011
173	0.04292012023
174	0.04249036316
175	0.04200235992
176	0.04158473444
177	0.04119029694
178	0.04083782553
179	0.04053210817
180	0.04002099256
181	0.03952192308
182	0.0390810024
183	0.03884866903
184	0.03855219917
185	0.0383457509
186	0.03809347472
187	0.03786695529
188	0.03764494994
189	0.03728516263
190	0.03690970533
191	0.03667853921
192	0.03635538061
193	0.03606867815
194	0.03565415205
195	0.03546239712
196	0.03520989743
197	0.03476118451
198	0.03436663744
199	0.03410474301
200	0.03397078924
201	0.03371866108
202	0.03337040795
203	0.03322253264
204	0.03304700526
205	0.0328921832
206	0.03256269941
207	0.03236743057
208	0.0322470526
209	0.03194203146
210	0.03160301538
211	0.0313510759
212	0.03110076719
213	0.03084847409
214	0.03064191955
215	0.03051854761
216	0.03031139015
217	0.02992226403
218	0.0296366843
219	0.02942863671
220	0.02917990583
221	0.02906074792
222	0.02884738578
223	0.02864358487
224	0.02850853594
225	0.02823729499
226	0.02810180202
227	0.0278745339
228	0.02771911019
229	0.02747983593
230	0.02729790429
231	0.02710766398
232	0.02681071109
233	0.02671147057
234	0.02659082116
235	0.02624616818
236	0.02616009553
237	0.02603671917
238	0.02583189936
239	0.02558419592
240	0.02546617044
241	0.02519567124
242	0.02502216118
243	0.02480407056
244	0.02455161954
245	0.02450449495
246	0.0243726122
247	0.02415642767
248	0.02400994708
249	0.02389601388
250	0.0238290011
251	0.02364775128
252	0.02350396638
253	0.02343711444
254	0.02326225168
255	0.0230112251
256	0.02294671786
257	0.02269397981
258	0.02262057013
259	0.02241830862
260	0.02221499121
261	0.02192643704
262	0.02182117649
263	0.0217369914
264	0.02167450414
265	0.02149028268
266	0.02137899217
267	0.02134486273
268	0.0212759113
269	0.02114773306
270	0.02108218306
271	0.02088752853
272	0.02082969463
273	0.02070498093
274	0.02058664934
275	0.02037944086
276	0.02023998664
277	0.02018736718
278	0.02006738958
279	0.02002972513
280	0.01982945635
281	0.01971089237
282	0.01956685511
283	0.0194332819
284	0.01935636177
285	0.01933164505
286	0.01928993236
287	0.01914726025
288	0.01900680875
289	0.01885797077
290	0.01867853467
291	0.01847160663
292	0.01833428003
293	0.01826786936
294	0.01810310162
295	0.01795394961
296	0.0178384617
297	0.01778258282
298	0.01761093106
299	0.01745871408
300	0.01743637423
301	0.01725129998
302	0.01715187212
303	0.01704920625
304	0.01700140705
305	0.01682673315
306	0.01668917758
307	0.0166552089
308	0.01650000623
309	0.01634852031
310	0.01631381612
311	0.016185949
312	0.01615256334
313	0.0161265043
314	0.01600172177
315	0.01592726784
316	0.01590976389
317	0.01578931968
318	0.01567011361
319	0.01557305268
320	0.0154716513
321	0.01535437042
322	0.01522632763
323	0.01518312329
324	0.01502027403
325	0.01489462185
326	0.01478039124
327	0.01470561112
328	0.01468840195
329	0.01461144122
330	0.01444344784
331	0.01442514842
332	0.01432432202
333	0.01418033112
334	0.01407070653
335	0.01400909207
336	0.0139792517
337	0.01387415611
338	0.01375238287
339	0.01370372153
340	0.01360809122
341	0.01349608326
342	0.01338521657
343	0.01330507824
344	0.01320846009
345	0.01308006952
346	0.0129733082
347	0.01287493274
348	0.01285237693
349	0.01283871429
350	0.01273605668
351	0.01271809019
352	0.01262745161
353	0.01256004813
354	0.01242978644
355	0.01228734074
356	0.01220748255
357	0.012101782
358	0.01197921973
359	0.01190772731
360	0.01182978354
361	0.01174735155
362	0.01164834346
363	0.01159816846
364	0.01156764409
365	0.01146955621
366	0.01136965359
367	0.01135233253
368	0.01132005759
369	0.0112113248
370	0.01120173834
371	0.01118899887
372	0.0111782184
373	0.01107034232
374	0.01106009686
375	0.0110504403
376	0.01097391485
377	0.01089204504
378	0.01088403914
379	0.01077635407
380	0.01075717305
381	0.01074836423
382	0.01064559579
383	0.01056501115
384	0.01050536958
385	0.01042421947
386	0.01040724698
387	0.01030658359
388	0.01025130764
389	0.01017293724
390	0.0101627358
391	0.01005554205
392	0.009998800529
393	0.009897853359
394	0.009804479066
395	0.009796042343
396	0.00972890739
397	0.009623615305
398	0.009573499749
399	0.009502339781
400	0.009418331319
401	0.009333059418
402	0.009261889808
403	0.009191734197
404	0.009140415638
405	0.009076732285
406	0.009067862049
407	0.00897269686
408	0.008966333559
409	0.008896260197
410	0.008823045753
411	0.008784294669
412	0.008776284263
413	0.008760281083
414	0.008678476044
415	0.008627330587
416	0.008566100028
417	0.008478525153
418	0.008471510858
419	0.008432719363
420	0.008357514483
421	0.008300897812
422	0.008235639627
423	0.008161161744
424	0.008125165682
425	0.008118176233
426	0.008044434697
427	0.007988037282
428	0.007897958704
429	0.007819876602
430	0.007757446181
431	0.00771875791
432	0.007666480249
433	0.007657232044
434	0.007601302522
435	0.007571654898
436	0.007524781098
437	0.007474424913
438	0.007425625024
439	0.007349623728
440	0.007277195519
441	0.007246358478
442	0.007152902278
443	0.007144358685
444	0.007076868338
445	0.007005318289
446	0.006949455311
447	0.006890039592
448	0.006882244338
449	0.006875567517
450	0.006822425097
451	0.006778123375
452	0.006734168909
453	0.006678769506
454	0.006672500254
455	0.006624902276
456	0.006610320922
457	0.006580900173
458	0.006573697528
459	0.006526858866
460	0.006465468804
461	0.006426727762
462	0.006373766389
463	0.006331172704
464	0.006268313561
465	0.006226012394
466	0.006168869422
467	0.006117420407
468	0.006064056699
469	0.006040942662
470	0.00599500506
471	0.005945401766
472	0.005900788387
473	0.005862438657
474	0.005858162946
475	0.005797034043
476	0.005731278026
477	0.005702805287
478	0.005655840734
479	0.005614997304
480	0.005579077804
481	0.005564170471
482	0.005522568964
483	0.005483347049
484	0.005443903024
485	0.005405045388
486	0.005356125704
487	0.005319829912
488	0.005285531726
489	0.005240636359
490	0.005201180603
491	0.005154480036
492	0.005116261241
493	0.00509823026
494	0.005051558978
495	0.005016825021
496	0.004976131868
497	0.004938494879
498	0.004923217057
499	0.004888689371
